quote,author,tags,last_updated_at_UTC
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"life,navigation",11-Dec-2021 12:34:44
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",11-Dec-2021 12:34:44
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",11-Dec-2021 12:34:44
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"books,contentment,friends,friendship,life",11-Dec-2021 12:34:44
“Life is what happens to us while we are making other plans.”,Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans",11-Dec-2021 12:34:44
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"love,poetry",11-Dec-2021 12:34:46
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness,11-Dec-2021 12:34:46
"“If you judge people, you have no time to love them.”",Mother Teresa,attributed-no-source,11-Dec-2021 12:34:46
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"humor,religion",11-Dec-2021 12:34:46
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,humor,11-Dec-2021 12:34:46
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"comedy,life,yourself",11-Dec-2021 12:34:46
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children,fairy-tales",11-Dec-2021 12:34:46
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,,11-Dec-2021 12:34:46
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination,11-Dec-2021 12:34:46
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music,11-Dec-2021 12:34:46
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss",11-Dec-2021 12:34:47
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore,11-Dec-2021 12:34:47
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship,11-Dec-2021 12:34:47
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"misattributed-to-mother-teresa,paraphrased",11-Dec-2021 12:34:47
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death,inspirational",11-Dec-2021 12:34:47
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate,food,humor",11-Dec-2021 12:34:47
“We read to know we're not alone.”,William Nicholson,"misattributed-to-c-s-lewis,reading",11-Dec-2021 12:34:47
“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge,learning,understanding,wisdom",11-Dec-2021 12:34:47
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"books,library",11-Dec-2021 12:34:47
“It is never too late to be what you might have been.”,George Eliot,inspirational,11-Dec-2021 12:34:47
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"read,readers,reading,reading-books",11-Dec-2021 12:34:49
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"books,inspirational,reading,tea",11-Dec-2021 12:34:49
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,,11-Dec-2021 12:34:49
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,"girls,love",11-Dec-2021 12:34:49
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"life,simile",11-Dec-2021 12:34:49
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,love,11-Dec-2021 12:34:49
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,attributed-no-source,11-Dec-2021 12:34:49
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"hope,inspirational",11-Dec-2021 12:34:49
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,dumbledore,11-Dec-2021 12:34:49
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,love,11-Dec-2021 12:34:49
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"friendship,love",11-Dec-2021 12:34:51
“Do one thing every day that scares you.”,Eleanor Roosevelt,"attributed,fear,inspiration",11-Dec-2021 12:34:51
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,attributed-no-source,11-Dec-2021 12:34:51
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,music,11-Dec-2021 12:34:51
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"books,thought",11-Dec-2021 12:34:51
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,misattributed-to-einstein,11-Dec-2021 12:34:51
"“He's like a drug for you, Bella.”",Stephenie Meyer,"drug,romance,simile",11-Dec-2021 12:34:51
“There is no friend as loyal as a book.”,Ernest Hemingway,"books,friends,novelist-quotes",11-Dec-2021 12:34:51
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,inspirational,11-Dec-2021 12:34:51
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"inspirational,life,yourself",11-Dec-2021 12:34:51
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,alcohol,11-Dec-2021 12:34:52
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,the-hunger-games,11-Dec-2021 12:34:52
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,humor,11-Dec-2021 12:34:52
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,love,11-Dec-2021 12:34:52
“Not all those who wander are lost.”,J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander",11-Dec-2021 12:34:52
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,live-death-love,11-Dec-2021 12:34:52
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,"good,writing",11-Dec-2021 12:34:52
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,"life,regrets",11-Dec-2021 12:34:52
“I have never let my schooling interfere with my education.”,Mark Twain,education,11-Dec-2021 12:34:52
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,troubles,11-Dec-2021 12:34:52
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"friendship,love",11-Dec-2021 12:34:54
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor,11-Dec-2021 12:34:54
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"humor,open-mind,thinking",11-Dec-2021 12:34:54
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"humor,philosophy",11-Dec-2021 12:34:54
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"authors,books,literature,reading,writing",11-Dec-2021 12:34:54
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth",11-Dec-2021 12:34:54
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",11-Dec-2021 12:34:54
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"humor,sinister",11-Dec-2021 12:34:54
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,,11-Dec-2021 12:34:54
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"books,classic,reading",11-Dec-2021 12:34:54
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,mistakes,11-Dec-2021 12:34:55
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"humor,love,romantic,women",11-Dec-2021 12:34:55
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,integrity,11-Dec-2021 12:34:55
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"books,library,reading",11-Dec-2021 12:34:55
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"elizabeth-bennet,jane-austen",11-Dec-2021 12:34:55
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"age,fairytales,growing-up",11-Dec-2021 12:34:55
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,god,11-Dec-2021 12:34:55
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"death,life",11-Dec-2021 12:34:55
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,"misattributed-mark-twain,truth",11-Dec-2021 12:34:55
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"christianity,faith,religion,sun",11-Dec-2021 12:34:55
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,truth,11-Dec-2021 12:34:57
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"death,life",11-Dec-2021 12:34:57
“To die will be an awfully big adventure.”,J.M. Barrie,"adventure,love",11-Dec-2021 12:34:57
“It takes courage to grow up and become who you really are.”,E.E. Cummings,courage,11-Dec-2021 12:34:57
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life,11-Dec-2021 12:34:57
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,better-life-empathy,11-Dec-2021 12:34:57
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"books,children,difficult,grown-ups,write,writers,writing",11-Dec-2021 12:34:57
“Never tell the truth to people who are not worthy of it.”,Mark Twain,truth,11-Dec-2021 12:34:57
"“A person's a person, no matter how small.”",Dr. Seuss,inspirational,11-Dec-2021 12:34:57
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"books,mind",11-Dec-2021 12:34:57
